customerName,salesmanEmail,dueDate,type,priority,description,customerEmail,customerPhone,notes
Customer Call,usman.abid00321@gmail.com,2/21/2026,Call,Medium,Task: Call,,,
Customer Visit,usman.abid00321@gmail.com,2/22/2026,Visit,Medium,Task: Visit,,,
Customer Email,usman.abid00321@gmail.com,2/23/2026,Email,Medium,Task: Email,,,
Customer Meeting,usman.abid00321@gmail.com,2/24/2026,Meeting,Medium,Task: Meeting,,,
Customer WhatsApp,usman.abid00321@gmail.com,2/25/2026,WhatsApp,Medium,Task: WhatsApp,,,
Customer Other,usman.abid00321@gmail.com,2/26/2026,Other,Medium,Task: Other,,,
Customer Quote Follow up,usman.abid00321@gmail.com,2/27/2026,Quote Follow-up,Medium,Task: Quote Follow-up,,,
Customer Sample Feedback,usman.abid00321@gmail.com,2/28/2026,Sample Feedback,Medium,Task: Sample Feedback,,,
Customer Order Check,usman.abid00321@gmail.com,3/1/2026,Order Check,Medium,Task: Order Check,,,
abdullah,usman.abid00321@gmail.com,5/1/2026,Meeting,Medium,Task: Order Check,,,
